# N estimate estimated_error actual_error scaled_actual_error
100 3.12 0.165699 0.0215927 0.215927
200 3.04 0.120797 0.101593 1.43674
400 3.13 0.0825091 0.0115927 0.231853
800 3.155 0.0577275 0.0134073 0.379217
1600 3.135 0.0411687 0.00659265 0.263706
3200 3.14375 0.0290034 0.00215735 0.122038
6400 3.155 0.0204098 0.0134073 1.07259
12800 3.13094 0.01458 0.0106552 1.20549
25600 3.14 0.0102706 0.00159265 0.254825
51200 3.14422 0.00724941 0.0026261 0.594218
102400 3.14285 0.00512909 0.00125891 0.402851
204800 3.14004 0.00363113 0.00155359 0.703075
409600 3.13883 0.00256891 0.00276453 1.7693
819200 3.14255 0.00181363 0.000961057 0.86985
