# N lcg_error std_error qmc_error lcg_est std_est qmc_est qmc_error_estimate
100 0.855179 0.884727 0.884631 0.144821 0.115273 0.115369 0.00201261
200 0.868499 0.87458 0.880572 0.131501 0.12542 0.119428 0.000774437
400 0.871249 0.875949 0.878132 0.128751 0.124051 0.121868 0.00107197
800 0.867832 0.875803 0.876965 0.132168 0.124197 0.123035 0.00151867
1600 0.875504 0.872893 0.876087 0.124496 0.127107 0.123913 0.000577172
3200 0.873271 0.876874 0.875573 0.126729 0.123126 0.124427 0.000324782
6400 0.874395 0.876472 0.875253 0.125605 0.123528 0.124747 0.000107467
12800 0.875218 0.876319 0.875136 0.124782 0.123681 0.124864 4.71713e-05
25600 0.874997 0.875353 0.875084 0.125003 0.124647 0.124916 4.09007e-05
51200 0.87636 0.875458 0.875043 0.12364 0.124542 0.124957 2.67183e-05
102400 0.875343 0.87517 0.875023 0.124657 0.12483 0.124977 1.09073e-05
204800 0.874508 0.874572 0.875012 0.125492 0.125428 0.124988 5.71695e-06
409600 0.87567 0.874955 0.875006 0.12433 0.125045 0.124994 2.73236e-06
819200 0.87497 0.875147 0.875003 0.12503 0.124853 0.124997 1.09196e-06
