# r numerical exact
0.001 0.000999 0.000999
0.00105138 0.00105028 0.00105028
0.00110112 0.0010999 0.0010999
0.00114983 0.00114851 0.00114851
0.00119792 0.00119648 0.00119648
0.0012456 0.00124405 0.00124405
0.00129304 0.00129137 0.00129137
0.00134031 0.00133852 0.00133852
0.00138749 0.00138556 0.00138556
0.00143459 0.00143253 0.00143254
0.00148165 0.00147946 0.00147946
0.00152868 0.00152634 0.00152635
0.00157569 0.00157321 0.00157321
0.00162268 0.00162005 0.00162005
0.00166966 0.00166687 0.00166687
0.00171663 0.00171368 0.00171368
0.00176359 0.00176048 0.00176048
0.00181055 0.00180727 0.00180727
0.0018575 0.00185405 0.00185405
0.00190444 0.00190082 0.00190082
0.00195138 0.00194758 0.00194758
0.00199832 0.00199433 0.00199433
0.00204525 0.00204107 0.00204107
0.00209218 0.0020878 0.00208781
0.0021391 0.00213453 0.00213453
0.00218603 0.00218125 0.00218125
0.00223294 0.00222796 0.00222796
0.00227986 0.00227466 0.00227467
0.00232677 0.00232136 0.00232136
0.00237368 0.00236805 0.00236805
0.00242059 0.00241473 0.00241474
0.00246749 0.00246141 0.00246141
0.0025144 0.00250808 0.00250808
0.0025613 0.00255474 0.00255475
0.0026082 0.0026014 0.0026014
0.00265509 0.00264805 0.00264805
0.00270199 0.0026947 0.0026947
0.00274888 0.00274133 0.00274134
0.00279577 0.00278797 0.00278797
0.00284266 0.00283459 0.0028346
0.00288955 0.00288121 0.00288122
0.00293644 0.00292783 0.00292783
0.00298333 0.00297444 0.00297444
0.00303021 0.00302104 0.00302104
0.00307709 0.00306764 0.00306764
0.00312397 0.00311423 0.00311423
0.00317086 0.00316081 0.00316082
0.00321773 0.00320739 0.0032074
0.00326461 0.00325397 0.00325397
0.00331149 0.00330054 0.00330054
0.00335837 0.0033471 0.00334711
0.00340524 0.00339366 0.00339367
0.00345212 0.00344022 0.00344022
0.00349899 0.00348677 0.00348677
0.00354586 0.00353331 0.00353331
0.00359274 0.00357985 0.00357985
0.00363961 0.00362638 0.00362639
0.00368648 0.00367291 0.00367291
0.00373335 0.00371943 0.00371944
0.00378022 0.00376595 0.00376596
0.00382709 0.00381247 0.00381247
0.00387396 0.00385897 0.00385898
0.00392083 0.00390548 0.00390548
0.00396769 0.00395198 0.00395198
0.00401456 0.00399847 0.00399848
0.00406143 0.00404496 0.00404496
0.00410829 0.00409144 0.00409145
0.00415516 0.00413792 0.00413793
0.00420202 0.0041844 0.0041844
0.00424889 0.00423087 0.00423087
0.00429575 0.00427733 0.00427734
0.00434262 0.00432379 0.0043238
0.00438948 0.00437025 0.00437026
0.00443634 0.0044167 0.00441671
0.00448321 0.00446315 0.00446315
0.00453007 0.00450959 0.0045096
0.00457693 0.00455603 0.00455603
0.0046238 0.00460246 0.00460247
0.00467066 0.00464889 0.0046489
0.00471752 0.00469531 0.00469532
0.00476438 0.00474173 0.00474174
0.00481125 0.00478815 0.00478815
0.00485811 0.00483456 0.00483456
0.00490497 0.00488096 0.00488097
0.00495183 0.00492736 0.00492737
0.00499869 0.00497376 0.00497377
0.00504555 0.00502015 0.00502016
0.00509242 0.00506654 0.00506655
0.00513928 0.00511293 0.00511293
0.00518614 0.0051593 0.00515931
0.005233 0.00520568 0.00520569
0.00527986 0.00525205 0.00525206
0.00532672 0.00529842 0.00529842
0.00537358 0.00534478 0.00534478
0.00542044 0.00539114 0.00539114
0.00546731 0.00543749 0.0054375
0.00551417 0.00548384 0.00548384
0.00556103 0.00553018 0.00553019
0.00560789 0.00557652 0.00557653
0.00565475 0.00562286 0.00562286
0.00570161 0.00566919 0.0056692
0.00574847 0.00571552 0.00571552
0.00579533 0.00576184 0.00576185
0.0058422 0.00580816 0.00580816
0.00588906 0.00585447 0.00585448
0.00593592 0.00590078 0.00590079
0.00598278 0.00594709 0.0059471
0.00602964 0.00599339 0.0059934
0.00607651 0.00603969 0.00603969
0.00612337 0.00608598 0.00608599
0.00617023 0.00613227 0.00613228
0.00621709 0.00617855 0.00617856
0.00626396 0.00622483 0.00622484
0.00631082 0.00627111 0.00627112
0.00635768 0.00631738 0.00631739
0.00640455 0.00636365 0.00636366
0.00645141 0.00640991 0.00640992
0.00649827 0.00645617 0.00645618
0.00654514 0.00650243 0.00650244
0.006592 0.00654868 0.00654869
0.00663886 0.00659493 0.00659494
0.00668573 0.00664117 0.00664118
0.00673259 0.00668741 0.00668742
0.00677946 0.00673364 0.00673365
0.00682632 0.00677987 0.00677988
0.00687319 0.0068261 0.00682611
0.00692005 0.00687232 0.00687233
0.00696692 0.00691854 0.00691855
0.00701379 0.00696476 0.00696477
0.00706065 0.00701097 0.00701098
0.00710752 0.00705717 0.00705718
0.00715439 0.00710337 0.00710338
0.00720125 0.00714957 0.00714958
0.00724812 0.00719576 0.00719577
0.00729499 0.00724195 0.00724196
0.00734186 0.00728814 0.00728815
0.00738872 0.00733432 0.00733433
0.00743559 0.0073805 0.00738051
0.00748246 0.00742667 0.00742668
0.00752933 0.00747284 0.00747285
0.0075762 0.00751901 0.00751902
0.00762307 0.00756517 0.00756518
0.00766994 0.00761132 0.00761133
0.00771681 0.00765748 0.00765749
0.00776368 0.00770363 0.00770364
0.00781055 0.00774977 0.00774978
0.00785742 0.00779591 0.00779592
0.00790429 0.00784205 0.00784206
0.00795116 0.00788818 0.00788819
0.00799803 0.00793431 0.00793432
0.00804491 0.00798044 0.00798045
0.00809178 0.00802656 0.00802657
0.00813865 0.00807267 0.00807268
0.00818553 0.00811879 0.0081188
0.0082324 0.00816489 0.00816491
0.00827927 0.008211 0.00821101
0.00832615 0.0082571 0.00825711
0.00837302 0.0083032 0.00830321
0.0084199 0.00834929 0.0083493
0.00846677 0.00839538 0.00839539
0.00851365 0.00844146 0.00844147
0.00856052 0.00848754 0.00848755
0.0086074 0.00853362 0.00853363
0.00865428 0.00857969 0.0085797
0.00870116 0.00862576 0.00862577
0.00874803 0.00867183 0.00867184
0.00879491 0.00871789 0.0087179
0.00884179 0.00876394 0.00876396
0.00888867 0.00881 0.00881001
0.00893555 0.00885605 0.00885606
0.00898243 0.00890209 0.0089021
0.00902931 0.00894813 0.00894814
0.00907619 0.00899417 0.00899418
0.00912307 0.0090402 0.00904021
0.00916995 0.00908623 0.00908624
0.00921683 0.00913226 0.00913227
0.00926371 0.00917828 0.00917829
0.00931059 0.00922429 0.00922431
0.00935747 0.00927031 0.00927032
0.00940436 0.00931632 0.00931633
0.00945124 0.00936232 0.00936234
0.00949812 0.00940832 0.00940834
0.00954501 0.00945432 0.00945433
